NO,Lon,Lat,lat,Alt,alt,Eco,month,flux,MMT,SWC
76,100.03,39.25,3,1390,2,Grassland,6,1072.517321,21.38999342,0.079632856
77,121.69,50.85,5,754,1,Forest,7,39.61862467,17.4927621,0.507894743
78,108.09,34.8,3,900-1300,NAA,Forest,1,58.82616737,-3.600006023,0.069886111
79,105.47,31.27,3,,NAA,Cropland,11,175.0386448,12.60713647,0.083277882
80,121.5,50.91,5,813,1,Forest,11,60.53995108,-16.55682391,0.053060758
81,121.5,50.91,5,813,1,Forest,4,52.75689,-0.772733359,0.057489574
82,105.47,31.27,3,,NAA,Cropland,2,139.0203389,9.388327019,0.069319352
83,127.57,45.33,4,400,1,Cropland,1,34.12439287,-21.14000563,0.049824417
84,105.63,34.62,3,1537.6,2,Cropland,12,157.7470897,-3.30000603,0.059227571
85,108.46,18.4,1,<U+00A6><c4><cc><U+1F30>,NAA,Cropland,5,32.12831137,NaN,NaN
86,108.06,34.26,3,521,1,Cropland,12,32.46321414,0.709993881,0.056714185
87,100.03,39.25,3,1390,2,Grassland,7,731.6500523,24.43999335,0.08595258
88,102.42,37.72,3,2200,3,Cropland,4,78.78747766,6.484993752,0.070593387
89,100.03,39.25,3,1390,2,Grassland,8,368.1026659,23.35999337,0.080460392
90,112.8,28.37,2,,NAA,Cropland,5,33.54479542,22.46999339,0.349329293
91,119.65,30.23,3,359,1,Forest,1,177.4528675,4.539993795,0.08069212
92,102.4,37.72,3,2200,3,Forest,4,39.3123371,4.749993791,0.070593387
93,127.5,45.4,4,<U+00A6><c4><cc><U+1F30>,NAA,Forest,2,35.76887519,-11.70000584,0.041952819
94,121.5,50.91,5,,NAA,Forest,12,36.329472,-28.57955092,0.035330262
95,111.5,33.45,3, 600m-1830,NAA,Forest,1,55.216908,0.114993894,0.067298334
96,122.28,53.39,5,500-800,NAA,Forest,2,56.66437854,-19.99000566,0.031818051
97,118.75,37.82,3,,NAA,Cropland,4,78.30476503,16.20999353,0.611326039
98,102.97,38.57,3,1300,2,Grassland,8,47.304,22.03999341,0.125806943
99,127.5,45.4,4,<U+00A6><c4><cc><U+1F30>,NAA,Forest,1,37.79352851,-16.75000573,0.045644455
100,127.57,45.33,4,400,1,Cropland,2,39.69084328,-13.6100058,0.049439821
101,108.09,34.8,3,900-1300,NAA,Forest,2,70.48170574,0.949993875,0.066305928
102,103.63,30.58,3,,NAA,Forest,2,58.29053716,7.933327051,0.075123322
103,108.07,34.28,3,521,1,Cropland,12,75.5209691,3.12988019,0.062297864
104,125.55,44.2,4,,NAA,Cropland,3,75.71148286,-4.000006014,0.061251887
105,105.47,31.27,3,,NAA,Cropland,4,191.8278786,19.05999347,0.087981531
106,108.06,34.26,3,521,1,Cropland,1,40.57902763,0.899993876,0.06053986
107,104.14,31.04,3,,NAA,Cropland,6,40.65651383,22.2599934,0.322536874
108,124.98,49.45,4,519,1,Forest,7,44.09825092,21.16984191,0.110880776
109,124.15,50.42,5,450-500,NAA,Forest,4,42.03605908,3.13363019,0.062641312
110,109.18,36.65,3,,NAA,Grassland,10,89.60187445,8.599993704,0.064496458
111,104.74,35.47,3,2000,3,Cropland,4,70.49435484,9.189993691,0.05783701
112,127.57,45.33,4,400,1,Cropland,12,46.04379436,-15.05000577,0.052854091
113,92.02,31.44,3,,NAA,Grassland,4,44.90296364,-0.1700061,0.081494831
114,104.74,35.47,3,2000,3,Cropland,5,75.86190412,12.72999361,0.056959125
115,105.47,31.27,3,,NAA,Forest,2,110.7224246,10.19399367,0.070657052
116,116.43,28.34,2,,NAA,Cropland,8,45.86724254,30.32999322,0.26252696
117,117,28,2,,NAA,Cropland,11,63.01669255,14.60999357,0.125371799
118,103.63,30.58,3,,NAA,Forest,1,68.12276914,3.476660485,0.066848683
119,103.1,32.75,3,3091,4,Forest,1,226.3221309,-13.10000581,0.038358816
120,103.1,32.75,3,3091,4,Forest,2,245.9795192,-7.540005935,0.046477539
121,104.74,35.47,3,2000,3,Cropland,7,107.8830144,18.00999349,0.087357014
122,116.7,43.6,4,1453,2,Grassland,5,221.6196172,13.16999361,0.104534234
123,127.67,45.4,4,450,1,Forest,11,107.9774005,-11.51000585,0.064688287
124,122.27,43.62,4,,NAA,Cropland,6,56.0387279,22.85999339,0.096379772
125,113.83,34.56,3,69-78,NAA,Cropland,1,201.8224073,1.331993867,0.04683225
126,122.28,53.39,5,500-800,NAA,Forest,11,70.11181473,-20.46000565,0.042620993
127,102.48,38,3,1600,2,Cropland,10,66.10969629,9.324993688,0.068188578
128,108.46,18.4,1,<U+00A6><c4><cc><U+1F30>,NAA,Cropland,9,50.17758261,NaN,NaN
129,104.74,35.47,3,2000,3,Cropland,6,91.99487014,16.89999352,0.063410651
130,102.42,37.72,3,2200,3,Cropland,10,66.11026207,6.834993744,0.069560524
131,104.74,35.47,3,2000,3,Cropland,9,50.52847291,11.99999363,0.108827643
132,108.06,34.26,3,521,1,Cropland,11,50.72383234,7.409993731,0.064580642
133,108.07,34.28,3,521,1,Cropland,11,73.07098652,7.886720993,0.072247555
134,112,39,3,1348,2,Grassland,3,67.26510773,-0.470915184,0.067409103
135,119.58,30.32,3,,NAA,Forest,2,87.2058876,0.179993892,0.099495596
136,127.57,45.33,4,400,1,Forest,2,74.50376019,-13.6100058,0.049439821
137,108.12,34.2,3,520m,NAA,Cropland,8,1357.669887,25.18999334,0.135403149
138,116.6,32.2,3,21.0~29.5,NAA,Cropland,12,78.10491653,3.379993821,0.079406001
139,127.78,41.85,4,750,1,Forest,4,179.7234443,4.389993798,0.066482743
140,111.13,31.9,3,,NAA,Forest,2,251.4656351,0.349993889,0.061016337
141,104.74,35.47,3,2000,3,Cropland,8,52.52608984,17.5899935,0.076202385
142,102.37,37.65,3,2600,3,Grassland,4,58.0549091,2.219993847,0.071688425
143,110.2,39.5,3,,NAA,Grassland,10,104.0688,10.28999367,0.059638558
144,108.46,18.4,1,<U+00A6><c4><cc><U+1F30>,NAA,Cropland,7,53.09791975,NaN,NaN
145,122.27,43.62,4,,NAA,Grassland,6,56.09479826,22.85999339,0.096379772
146,102.98,38.56,3,1300,2,Forest,8,84.715318,22.03999341,0.125806943
147,127.5,45.4,4,<U+00A6><c4><cc><U+1F30>,NAA,Forest,12,54.66563944,-12.93000581,0.050060015
148,105.47,31.27,3,,NAA,Forest,3,180.8428297,16.60399353,0.072915152
149,109.18,36.65,3,,NAA,Grassland,11,89.28961128,0.29999389,0.059711304
150,116.7,43.63,4,1100,2,Grassland,11,55.95468316,-6.320005962,0.066654934
151,119.21,30.1,3,,NAA,Forest,1,109.4017526,2.859993833,0.069244035
152,109.12,36.83,3,,NAA,Forest,11,129.1025814,-0.970006082,0.051448845
153,83.2,44.8,4,190,1,Cropland,11,202.3951782,-0.020006103,0.117371167
154,125.55,44.2,4,,NAA,Cropland,4,203.3720318,8.853327033,0.107038804
155,103.1,32.75,3,3091,4,Forest,3,366.3835839,-6.500005958,0.043127406
156,111.53,41.47,4,,NAA,Grassland,7,59.35855637,19.65999346,0.077831492
157,115.53,38.65,3,,NAA,Cropland,12,71.89861582,-0.360006095,0.047428258
158,108.07,34.28,3,521,1,Cropland,1,74.25357657,1.354993867,0.069502946
159,105.23,35.21,3,1590,2,Cropland,6,65.00078167,17.25999351,0.069727692
160,127.78,41.85,4,750,1,Forest,3,124.9768738,-4.758187815,0.05280906
161,108.4,34.33,3,521,1,Cropland,8,95.16123381,24.00999336,0.075358272
162,111.5,33.45,3, 600m-1830,NAA,Forest,2,109.7146996,3.619993816,0.06727976
163,108.09,34.8,3,900-1300,NAA,Forest,11,140.4765745,4.119993804,0.081564359
164,118.3,37.25,3,876-1082,NAA,Forest,5,290.9534697,22.3199934,0.064185213
165,108.09,34.8,3,900-1300,NAA,Forest,5,157.7975433,16.73999352,0.07396473
166,109.14,36.92,3,1371.9,2,Cropland,3,88.62814368,4.449993797,0.064752288
167,105.47,31.27,3,,NAA,Forest,1,132.5820744,6.785993745,0.074185595
168,128.4,48.18,4,380,1,Forest,3,101.7553253,-7.650005933,0.042764843
169,105.47,31.27,3,,NAA,Cropland,10,191.428997,17.4519935,0.104024971
170,119.65,30.23,3,359,1,Forest,2,151.3076172,7.389993731,0.106171399
171,119.39,30.19,3,,NAA,Forest,1,194.6987606,4.344084708,0.066091269
172,103.38,30.33,3,,NAA,Cropland,7,69.68400022,24.97999334,0.287398577
173,122.37,39.65,3,2600,3,Forest,10,73.64142021,12.72499362,0.114475165
174,117,28,2,,NAA,Cropland,9,76.58947637,26.10999331,0.073355012
175,126.6,45.7,4,,NAA,Cropland,4,84.00866115,8.536660372,0.091677795
176,120.58,31.58,3,,NAA,Cropland,1,70.38562844,4.019993807,0.415629447
177,105.47,31.27,3,,NAA,Cropland,5,119.0026639,21.94499341,0.103668608
178,108,34.4,3,506,1,Cropland,1,82.35686127,0.734993881,0.059591364
179,107.85,35.65,3,,NAA,Cropland,1,72.28122495,-3.870006017,0.058851473
180,92.02,31.44,3,,NAA,Grassland,11,100.9806611,-4.485006004,0.063568385
181,108.09,34.8,3,900-1300,NAA,Forest,3,158.8342892,7.159993736,0.066763937
182,122.28,53.39,5,500-800,NAA,Forest,12,147.0209117,-28.10000548,0.038655739
183,103.38,30.33,3,,NAA,Cropland,6,123.4219654,23.42999337,0.169426277
184,103.63,30.58,3,,NAA,Forest,11,97.69822537,12.60332695,0.107061458
185,116.43,28.34,2,,NAA,Cropland,6,74.3505876,24.68999334,0.302209682
186,127.57,45.33,4,400,1,Forest,1,79.79687072,-21.14000563,0.049824417
187,116.3,44.1,4,1129,2,Grassland,3,75.08578255,-0.380006095,0.086320058
188,116.7,43.6,4,1453,2,Grassland,10,94.30622009,2.849993833,0.131323904
189,119.21,30.1,3,,NAA,Forest,2,129.9878681,3.769993812,0.061760867
190,102.48,38,3,1600,2,Forest,4,85.26901288,9.564993683,0.062530743
191,104.42,36.03,3,2400,3,Grassland,1,160.441166,-8.305005918,0.063895453
192,118.15,27.05,2,<U+00BA><U+00A3><U+00B0><ce>200<U+04BB>1000m,NAA,Forest,1,460.1356111,7.141993737,0.111935477
193,122.37,39.65,3,2600,3,Forest,4,134.547858,11.11999365,0.090537671
194,119.39,30.19,3,,NAA,Forest,11,333.7092216,12.10499363,0.092263295
195,119.39,30.19,3,,NAA,Forest,12,189.666702,6.195902849,0.068691932
196,122.27,43.62,4,,NAA,Cropland,7,89.69721258,24.57999335,0.083757922
197,113.3,28.4,2,,NAA,Forest,2,129.747645,8.389993709,0.152093649
198,103.38,30.33,3,,NAA,Cropland,8,85.8587748,26.5499933,0.167333022
199,104.42,36.03,3,2400,3,Grassland,12,132.5384286,-8.240005919,0.058122441
200,111.9,41.8,4,1428,2,Grassland,5,177.5149981,15.10499356,0.082999912
201,112.37,27.83,2,255-259,NAA,Forest,9,306.6000292,23.73999337,0.325409293
202,116.3,44.1,4,1129,2,Grassland,6,81.91165418,19.76999345,0.104774125
203,116.3,44.1,4,1129,2,Grassland,2,81.91165418,-15.05000577,0.065504283
204,111.9,41.8,4,1428,2,Grassland,9,167.6271245,11.85332697,0.098241964
205,119.65,30.23,3,359,1,Forest,3,213.3798667,12.65999361,0.099093623
206,108.4,34.33,3,521,1,Cropland,7,100.0080323,26.45999331,0.0623927
207,113.83,34.56,3,69-78,NAA,Cropland,2,175.2463139,3.817993811,0.052360869
208,103.38,30.33,3,,NAA,Cropland,9,93.22549681,21.39999342,0.078636646
209,108.09,34.8,3,900-1300,NAA,Forest,4,121.4864673,11.81999363,0.072680995
210,105.47,31.27,3,,NAA,Forest,4,189.2192213,20.07999344,0.075140927
211,103.63,30.58,3,,NAA,Forest,3,106.7291483,12.81666027,0.086441896
212,125.33,44.12,4,,NAA,Cropland,10,392.6424764,7.809993722,0.124735117
213,108.09,34.8,3,900-1300,NAA,Forest,10,127.1793723,10.96999365,0.082085922
214,111.5,33.45,3, 600m-1830,NAA,Forest,12,100.0161851,2.55499384,0.065589054
215,108.4,34.33,3,521,1,Cropland,9,97.61148547,19.82999345,0.125777319
216,127.57,45.33,4,400,1,Cropland,11,87.59008527,-7.270005941,0.069949374
217,105.47,31.27,3,,NAA,Forest,5,339.8461551,22.1099934,0.116276095
218,109.14,36.92,3,1371.9,2,Cropland,5,167.576542,14.89999356,0.069563285
219,108.09,34.8,3,900-1300,NAA,Grassland,11,86.92970073,4.119993804,0.081564359
220,114.34,30.03,3,35,1,Cropland,2,87.061552,7.589993727,NaN
221,111.78,33.33,3,600-1800,NAA,Forest,1,87.08704243,0.939993875,0.055911883
222,113.83,34.56,3,69-78,NAA,Cropland,12,581.1828233,3.329993822,0.045374581
223,122.27,43.62,4,,NAA,Grassland,7,90.83759793,24.57999335,0.083757922
224,127.53,45.38,4,300,1,Forest,11,88.73587066,-7.170005943,0.06795752
225,105.47,31.27,3,,NAA,Grassland,1,367.4306186,5.329993777,0.078577677
226,102.48,38,3,1600,2,Forest,8,96.89660555,18.40999349,0.081834644
227,128.4,48.18,4,380,1,Forest,12,120.5816305,-22.86000559,0.032275517
228,109.75,26.83,2,,NAA,Forest,1,117.1337143,4.969993785,0.072847143
229,127.5,45.4,4,<U+00A6><c4><cc><U+1F30>,NAA,Forest,3,90.60323574,-2.690006043,0.065898173
