NO,Lon,Lat,lat,Alt,alt,Eco,month,flux,MMT,SWC
912,125.33,44.12,4,,NAA,Cropland,9,631.8549018,16.48874353,0.116939892
913,129.98,46.38,4,,NAA,Cropland,8,445.0836546,21.32499342,0.124422047
914,118.72,32.21,3,,NAA,Cropland,10,503.6566778,18.0749935,0.049377626
915,122.25,53.4,5,500-800,NAA,Forest,10,519.7385088,-0.390006095,0.056696314
916,114.03,31.49,3,,NAA,Forest,3,383.5446163,13.4599936,0.079752468
917,103.8,30.68,3,,NAA,Cropland,3,383.85882,12.84999361,0.089042656
918,119.7,30.45,3,,NAA,Forest,1,383.9522499,-1.740006065,0.071947943
919,111.94,33.55,3,600-1830,NAA,Forest,4,466.8409824,12.25499362,0.069844317
920,116.6,32.2,3,180~350,NAA,Cropland,8,652.885637,27.32499329,0.173686035
921,108.87,34.6,3,,NAA,Cropland,12,842.0527566,2.98999383,0.049553501
922,114.33,29.83,2,,NAA,Forest,4,385.292394,19.34999346,0.254601968
923,102.93,31.3,3,3023,4,Forest,3,553.8863204,-10.08500588,0.066248054
924,121.78,29.8,2,,NAA,Forest,4,677.8948744,14.83399357,0.06049179
925,118.16,26.67,2,200-500,NAA,Forest,11,421.5256254,15.22999356,0.055054802
926,108.9,18.8,1,,NAA,Forest,9,409.0183364,21.77499341,0.554903567
927,108,34.28,3,524.7,1,Cropland,7,387.5218083,25.65999332,0.081285489
928,111.13,31.9,3,,NAA,Forest,12,529.6907541,0.189993893,0.058396865
929,117.29,31.15,3,500<,NAA,Forest,3,387.8309646,11.24999365,0.211596206
930,107.85,35.65,3,1298,2,Cropland,4,595.9083955,14.03499358,0.05872128
931,126.1,46.43,4,,NAA,Cropland,9,464.4391867,16.15999354,0.226769656
932,120.12,49.35,4,684,1,Grassland,5,538.9779917,11.45999364,0.095476823
933,117,36.75,3,,NAA,Forest,10,452.4187673,16.37999353,0.037187396
934,127.57,45.33,4,340,1,Forest,9,805.9858632,13.3237436,0.139863165
935,119.97,30.08,3,536.9,1,Forest,2,391.360666,7.329993733,0.078329143
936,110.33,38.8,3,1081.0-1273.9,NAA,Grassland,8,391.9473678,20.00999345,0.089839267
937,116.2,43.92,4,1200,2,Grassland,6,392.0294667,18.72999348,0.111371842
938,108.37,25.3,2,,NAA,Forest,1,554.3565251,6.238175575,0.06274686
939,120,33.68,3,350,1,Forest,12,393.56928,4.161811985,0.108559082
940,107.27,37.74,3,1450,2,Grassland,10,424.8545688,8.483175525,0.083446256
941,118.71,32.21,3,,NAA,Cropland,1,394.2,2.98999383,0.069067784
942,111.93,31.97,3,1400,2,Forest,4,484.1709465,16.97666018,0.203237156
943,111.13,31.9,3,,NAA,Forest,7,766.6013374,23.64499337,0.078158847
944,108,34.28,3,524.7,1,Cropland,8,395.6959692,24.07999336,0.107204555
945,116.25,39.53,3,30,1,Forest,1,437.1250063,-2.306672719,0.035822867
946,113.29,28.22,2,,NAA,Cropland,12,397.1199999,8.299993711,0.094127272
947,121.78,29.8,2,300,1,Forest,1,583.2007983,6.043993762,0.051640479
948,111.9,41.79,4,1450,2,Grassland,8,643.3344,19.64249346,0.10401628
949,105.18,31.25,3,,NAA,Forest,10,588.2833414,16.16999354,0.146227688
950,120.12,30.35,3,,NAA,Forest,3,397.6298554,11.68499364,0.104960518
951,124.42,50.72,5,,NAA,Forest,4,399.217283,-0.060006102,0.057757594
952,119.7,30.23,3,,NAA,Cropland,1,400.1042961,0.379993888,0.073663227
953,104.58,27.58,2,600-1000,NAA,Forest,11,400.1691341,8.739993701,0.062048133
954,115.07,26.75,2,100,1,Forest,11,400.6081152,15.90999354,0.108651541
955,119.42,25.58,2,10,1,Forest,5,1365.814825,23.94499336,NaN
956,120.43,30.42,3,150-250,NAA,Forest,12,400.7974745,6.629993748,0.088354403
957,118.15,27.05,2,<U+00BA><U+00A3><U+00B0><ce>200<U+04BB>1000m,NAA,Forest,5,932.6338381,22.47999339,0.090672374
958,120,33.68,3,350,1,Forest,3,454.1184,8.623175522,0.144084169
959,103.26,29.54,2,1600,2,Forest,4,556.7888938,13.87999359,0.076363344
960,119.21,30.1,3,,NAA,Forest,9,431.8547167,21.63666008,0.08996885
961,120.15,30.23,3,,NAA,Cropland,1,508.9722222,7.339993732,0.394852996
962,120.15,30.23,3,,NAA,Cropland,12,511,6.499993751,0.391261727
963,100.2,25.7,2,1980,2,Cropland,9,402.02998,16.26999353,NaN
964,108.06,34.26,3,521,1,Cropland,9,402.37308,20.36999344,0.107210658
965,109.88,27.05,2,,NAA,Forest,4,504.0449338,16.19999353,0.110309398
966,111.13,31.9,3,,NAA,Forest,3,443.9796291,6.074993761,0.05488954
967,120.75,33.03,3,,NAA,Forest,12,539.5693558,4.379993799,0.463828753
968,110.1,21.3,2,,NAA,Forest,1,635.5948349,18.33999349,0.111755632
969,106.88,21.88,2,,NAA,Forest,3,490.718424,16.69453898,NaN
970,114.33,29.83,2,,NAA,Forest,11,403.654887,15.21999356,0.233883176
971,109.88,27.05,2,,NAA,Forest,3,407.4482736,9.109993693,0.068340494
972,126.6,45.7,4,,NAA,Cropland,7,783.5725696,23.23332671,0.248244852
973,128.47,42.4,4,740,1,Forest,5,508.8970691,13.0999936,0.134874216
974,116.7,43.63,4,1100,2,Grassland,5,405.06678,14.61999357,0.063690464
975,127.2,49.22,4,,NAA,Forest,4,406.3226276,1.329993867,0.074365503
976,109.25,36.73,3,1010-1431,NAA,Forest,10,469.0626797,9.1890846,0.065470947
977,115.5,38.6,3,1200-2768 m,NAA,Cropland,6,425.7475307,25.47999333,0.067963287
978,120.3,45.1,4,656,1,Grassland,6,450.4081985,17.98999349,0.136374563
979,121.51,50.83,5,,NAA,Forest,5,407.2934756,7.589993727,0.087508038
980,115.41,38.81,3,,NAA,Cropland,3,607.2002959,6.929993742,0.06621436
981,117.98,26.8,2,,NAA,Forest,12,561.5041565,9.494993684,0.101753514
982,120.08,30.23,3,,NAA,Cropland,7,414.8189894,28.87999325,0.324741684
983,117.43,26.19,2,,NAA,Forest,3,736.9751455,16.88499352,0.09179797
984,109.53,36.43,3,1245-1395,NAA,Forest,4,455.2733509,8.33999371,0.058769072
985,119.65,30.23,3,359,1,Forest,5,555.5995895,22.95999338,0.23881039
986,113.1,28.18,2,,NAA,Cropland,9,409.861818,24.57999335,0.11945948
987,116,41.9,4,,NAA,Grassland,5,410.2988126,13.2199936,0.09145952
988,109,36,3,1100-1250,NAA,Forest,10,649.0947658,11.54999364,0.086373404
989,118.15,27.05,2,<U+00BA><U+00A3><U+00B0><ce>200<U+04BB>1000m,NAA,Forest,7,1441.681918,27.99090236,0.122325166
990,120.19,30.31,3,1500-1600,NAA,Cropland,7,411.8211383,31.89999318,0.06285654
991,111.5,33.45,3, 600m-1830,NAA,Forest,5,488.8987855,18.20999349,0.067802508
992,116.7,43.63,4,1100,2,Grassland,9,412.2524487,12.54999362,0.117854137
993,120.58,31.58,3,,NAA,Cropland,4,413.2960036,16.11999354,0.404533267
994,106.88,21.88,2,,NAA,Forest,2,446.5879461,13.97226631,NaN
995,103.5,29.67,2,977.62,1,Forest,11,451.3085424,16.02999354,0.061719556
996,116.7,43.63,4,1100,2,Grassland,8,414.3106505,18.99999347,0.160059439
997,126.6,45.7,4,,NAA,Cropland,8,545.5639803,21.98666007,0.162360479
998,117.6,26.32,2,300,1,Forest,3,416.1143365,13.99999358,0.070599377
999,127.3,45.23,4,300,1,Forest,5,629.5640763,14.59999357,0.25862176
1000,127.57,45.33,4,340,1,Forest,6,829.9931537,18.64124348,0.249896844
1001,105.62,32.61,3,1600~1700,NAA,Forest,11,418.2639777,9.379993687,0.040885369
1002,118.15,27.05,2,<U+00BA><U+00A3><U+00B0><ce>200<U+04BB>1000m,NAA,Forest,4,883.5985554,17.33099351,0.153576661
1003,127.53,45.38,4,500,1,Forest,5,584.899958,12.05999362,0.260727409
1004,127.73,43.91,4,459~517,NAA,Forest,5,626.064025,13.12666027,0.116291639
1005,107.85,35.65,3,1298,2,Cropland,9,589.5764441,16.08499354,0.081246929
1006,127.53,45.38,4,300,1,Forest,3,420.1881869,-5.660005977,0.06705565
1007,116.72,40.11,4,9,1,Forest,11,541.8458182,3.069993828,0.035393827
1008,117.36,26.19,2,300,1,Forest,3,552.1583367,14.07332692,0.064656933
1009,119.42,30.14,3,150,1,Forest,10,421.5272728,16.35226626,0.103725562
1010,114.03,31.49,3,,NAA,Forest,12,421.8986995,4.889993787,0.061854862
1011,118.17,26.67,2,200-500,NAA,Forest,3,561.9685308,14.29999358,0.066396232
1012,119.7,30.45,3,,NAA,Forest,12,423.5653535,0.429993887,0.11032842
1013,108.9,18.8,1,,NAA,Forest,5,485.4811909,21.97499341,0.60216415
1014,119.66,25.96,2,9,1,Forest,12,625.4137688,12.74999361,NaN
1015,108.9,18.8,1,,NAA,Forest,3,431.2834691,15.97499354,0.616669238
1016,100.2,25.7,2,1980,2,Cropland,6,426.4942874,17.38999351,NaN
1017,108.85,37,3,,NAA,Grassland,8,788.722195,19.79999345,0.059244423
1018,111.78,33.33,3,600-1800,NAA,Forest,4,427.5172794,17.30999351,0.073301667
1019,109.14,36.92,3,1371.9,2,Cropland,6,597.9881549,18.15999349,0.064046688
1020,108.9,18.8,1,,NAA,Forest,8,494.8750964,22.4049934,0.560097098
1021,106.75,34.23,3,800-2670m,NAA,Forest,5,491.4090893,11.78999363,0.067232691
1022,121.5,31.5,3,,NAA,Forest,11,714.5623981,NaN,0.221145129
1023,122.28,53.39,5,500-800,NAA,Forest,6,547.1106976,14.49999357,0.22342097
1024,107,37.52,3,1380,2,Grassland,8,428.9504131,22.77999339,0.076239929
1025,112.46,30.53,3,,NAA,Cropland,7,954.3670098,28.96999325,0.398849309
1026,104.58,27.58,2,600-1000,NAA,Forest,2,429.8117126,3.469993819,0.068771631
1027,119.43,30.33,3,1506,2,Forest,4,1032.655568,14.32332691,0.05174086
1028,116.4,25.7,2,400,1,Forest,8,1166.872997,26.41999331,0.084267829
1029,103.7,30.45,3,,NAA,Cropland,12,430.4690428,7.699993724,0.071428766
1030,106.34,29.78,2,175-951.5,NAA,Forest,1,507.4815844,8.303327044,0.056558416
1031,115.07,26.75,2,100,1,Forest,4,432.086089,21.16999342,0.252191514
1032,110,19.73,1,20-30,NAA,Cropland,2,602.1581602,18.82999348,0.620354354
1033,112.13,36.62,3,1500,2,Forest,7,1228.695067,19.72749345,0.099561851
1034,117.47,26.18,2,330,1,Forest,12,435.1968,11.32726637,0.111776472
1035,105.47,31.27,3,,NAA,Grassland,9,1610.113962,22.1699934,0.155459136
1036,127.57,45.33,4,400,1,Cropland,4,438.29346,5.839993766,0.083742395
1037,126.63,47.87,4,240,1,Cropland,7,686.4448884,23.05999338,0.19590241
1038,119.42,25.58,2,10,1,Forest,6,1561.521691,27.83499328,NaN
1039,117.43,26.19,2,,NAA,Forest,8,876.6700356,28.86499325,0.068073969
1040,109.62,34.45,3,,NAA,Cropland,9,438.0320047,21.93999341,0.06766054
1041,113.3,28.4,2,,NAA,Forest,6,515.4266536,25.67999332,0.370520311
1042,113.03,28.1,2,46-114,NAA,Forest,3,439.7001408,11.02999365,0.100580037
1043,109.9,19.88,1,20-30,NAA,Cropland,2,601.6425466,19.60590255,0.557119385
1044,117.73,26.51,2,100,1,Forest,4,441.1419667,19.71181164,0.099715429
1045,114.6,27.67,2,700,1,Forest,11,494.5841338,8.729993701,0.170888666
1046,114.4,28.52,2,,NAA,Cropland,8,563.9117306,26.83317511,0.075998027
1047,112.86,29.53,2,31,1,Forest,1,443.1287347,5.279993778,0.17289865
1048,116.7,43.6,4,1453,2,Grassland,7,944.6339714,18.84332681,0.263603156
1049,109.32,36.86,3,,NAA,Forest,8,543.6782551,20.06999345,0.056591475
1050,124.65,52.52,5,,NAA,Forest,4,443.7020592,-1.320006074,0.050166298
1051,116.7,43.63,4,1100,2,Grassland,6,443.8809065,15.58999355,0.121048665
1052,112.47,35.02,3,,NAA,Forest,10,759.2514554,16.0071364,0.075450087
1053,109.12,36.83,3,,NAA,Forest,5,607.6104192,15.67999355,0.052174345
1054,127.57,45.33,4,340,1,Forest,10,563.4621773,3.902493809,0.105782543
1055,121.75,31.5,3,<U+00B8><U+07F3><cc>42m<d2><d4><cf><c2>,NAA,Cropland,10,1383.44709,NaN,0.31025063
1056,107.27,37.74,3,1450,2,Grassland,5,478.6458394,16.27090262,0.085225281
1057,119.65,30.23,3,359,1,Forest,8,811.6493381,30.61999321,0.069312401
1058,119.4,30.23,3,40-100,NAA,Forest,5,544.7700655,21.50476614,0.100321996
1059,109.88,27.05,2,,NAA,Forest,10,624.980448,17.01999352,0.115347059
1060,115.83,28.76,2,,NAA,Cropland,10,469.4814849,21.03999343,0.498830378
1061,119.43,30.33,3,1506,2,Forest,10,1684.999424,15.48999355,0.081409771
1062,114.6,27.67,2,700,1,Forest,3,594.4996426,11.35499364,0.163030169
1063,119.38,50.17,5,523,1,Grassland,6,450.2054131,17.7799935,0.141682953
1064,121.51,50.83,5,,NAA,Forest,9,518.0326471,6.379993754,0.174205274
1065,121.5,31.7,3,,NAA,Cropland,1,451.2423168,NaN,0.474218923
1066,117.36,26.19,2,300,1,Forest,10,757.0103269,21.69332675,0.070888016
1067,105.47,31.27,3,,NAA,Grassland,5,1939.424341,21.37999342,0.104482824
1068,107.49,37.83,3,1420,2,Grassland,7,607.9105368,23.18499338,0.090407299
1069,118.17,26.67,2,200-500,NAA,Forest,11,591.860474,14.19999358,0.064231394
1070,119.42,25.58,2,10,1,Forest,11,766.4894179,20.46999344,NaN
1071,102.6,33.9,3,3500<d2><d4><c9><cf>,NAA,Grassland,10,452.9057658,2.749993835,0.291262954
1072,105.63,34.62,3,1537.6,2,Forest,12,453.6832032,-3.30000603,0.059227571
1073,129.08,46.88,4,650,1,Forest,8,1383.236267,17.01749352,0.096800757
1074,110,19.73,1,20-30,NAA,Cropland,1,454.8109306,19.96999345,0.585891902
1075,109,36,3,1100-1250,NAA,Forest,6,656.7870269,19.36999346,0.065906361
1076,109.75,26.83,2,,NAA,Forest,9,547.3748573,23.38999337,0.100993279
1077,116.25,39.53,3,30,1,Forest,11,555.0123158,4.886660454,0.035749867
1078,116.4,25.7,2,400,1,Forest,9,1022.783121,24.56499335,0.081416019
1079,108.87,34.6,3,,NAA,Cropland,1,630.6855115,1.744993857,0.053503516
1080,117.43,26.19,2,,NAA,Forest,4,893.711713,22.3299934,0.104308754
1081,109.62,34.45,3,,NAA,Cropland,10,457.9366272,17.11999351,0.063924953
1082,112.46,30.53,3,,NAA,Cropland,6,1078.056518,24.76499334,0.55106017
1083,118.86,32.16,3,,NAA,Cropland,11,457.9741175,11.66999364,NaN
1084,119.42,30.14,3,150,1,Forest,4,458.1818181,14.79908447,0.080175678
1085,110,19.73,1,20-30,NAA,Cropland,3,635.9973131,23.33999337,0.65067178
1086,103.1,32.75,3,3091,4,Forest,10,922.1591677,-0.925006083,0.078623543
1087,108.07,34.28,3,521,1,Cropland,6,667.6740431,25.3677206,0.066504812
1088,127.57,45.33,4,340,1,Forest,8,1220.434015,19.92499345,0.096552872
1089,109.23,23.08,2,,NAA,Forest,2,698.5015008,13.84090268,0.078910161
1090,108.5,36,3,,NAA,Cropland,6,459.7646054,18.38272076,0.053354879
1091,116.4,25.7,2,400,1,Forest,6,1286.692137,26.6249933,0.073217862
1092,109.88,27.05,2,,NAA,Forest,5,645.663649,19.08999347,0.160022513
1093,122.53,43.73,4,,NAA,Cropland,5,858.5091718,17.71090259,0.069877187
1094,109.9,19.88,1,20-30,NAA,Cropland,1,655.5199104,18.11726622,0.547210543
1095,106.75,34.23,3,800-2670m,NAA,Forest,10,506.9765203,6.779993745,0.06838543
1096,85.82,44.28,4,,NAA,Cropland,9,779.8020251,17.6899935,0.060652275
1097,128.86,47.18,4,330,1,Forest,5,600.4209921,11.10999365,0.166002982
1098,110.2,39.5,3,,NAA,Grassland,6,614.952,22.80999339,0.067632209
1099,121.51,50.53,5,,NAA,Forest,7,835.7541708,17.38499351,0.377354354
1100,117.29,31.15,3,500<,NAA,Forest,9,465.6609881,23.70999337,0.153540984
1101,110,19.73,1,20-30,NAA,Cropland,11,758.4243486,22.62332673,0.600000024
1102,116.4,25.7,2,400,1,Forest,7,1149.079124,26.6399933,0.095616981
1103,128.9,47.08,4,,NAA,Forest,4,468.76334,1.879993854,0.058225479
1104,118.3,37.25,3,876-1082,NAA,Forest,11,468.8166989,5.999993762,0.068620533
1105,105.47,31.27,3,,NAA,Grassland,8,2133.088828,26.7699933,0.117246716
1106,105.63,34.62,3,1537.6,2,Cropland,10,656.7699974,8.699993702,0.066310927
1107,108.37,25.3,2,,NAA,Forest,2,572.8539647,8.758175519,0.060684941
1108,126.7,45.6,4,,NAA,Cropland,7,868.7435557,23.64249337,0.200676006
1109,104.42,36.03,3,2400,3,Grassland,4,493.5320928,6.874993743,0.084895145
1110,117.29,31.15,3,500<,NAA,Forest,7,470.9376,26.36999331,0.308264375
1111,109.9,19.88,1,20-30,NAA,Cropland,3,646.5416112,22.66362975,0.575456692
1112,119.58,30.32,3,,NAA,Forest,6,807.802816,21.62999341,0.221703692
1113,110.78,30.98,3,156~2030.6,NAA,Forest,3,471.6549389,12.57999362,0.056277607
1114,113.63,39.07,3,1952-2450,NAA,Forest,8,1034.80128,12.75999361,0.108647674
1115,103,30.07,3,1026,2,Forest,2,490.3324503,2.174993848,0.069197536
1116,113.83,34.56,3,69-78,NAA,Cropland,10,945.3754605,16.88199352,0.05530333
1117,109.32,36.86,3,,NAA,Forest,6,570.6038023,19.58999346,0.053852286
1118,118.86,32.16,3,,NAA,Cropland,5,964.8257859,21.90749341,0.129233245
1119,120.19,30.31,3,1500-1600,NAA,Cropland,9,475.477669,24.81999334,0.082845241
1120,108.07,34.28,3,521,1,Cropland,3,475.683105,9.709993679,0.087226138
1121,119.42,25.58,2,10,1,Forest,7,1039.577302,28.67499326,NaN
1122,119.5,30.2,3,150,1,Forest,5,515.6733273,18.89499347,0.066408391
1123,128.53,47.11,4,392,1,Forest,10,620.69849,1.869993855,0.07820081
1124,117.43,26.19,2,,NAA,Forest,5,1134.398468,24.78999335,0.082292952
1125,112.86,29.53,2,31,1,Forest,12,478.5802445,5.069993783,0.209383175
1126,109.32,36.86,3,1068-309,NAA,Forest,9,574.5250003,15.38999355,0.064571312
1127,106.2,29.8,2,175-950,NAA,Forest,11,2073.711806,14.69999357,0.118767619
1128,119.4,30.28,3,1139,2,Forest,6,2175.584124,23.89999336,0.085259177
1129,109.88,27.05,2,,NAA,Forest,9,742.6595548,20.08999345,0.125828844
1130,127.53,45.38,4,300,1,Forest,4,480.218855,7.029993739,0.089146361
1131,114.33,29.83,2,,NAA,Forest,10,480.347811,18.90999347,0.239862556
1132,116.6,32.2,3,180~350,NAA,Cropland,7,791.2285345,28.65999326,0.200856611
1133,121.75,31.5,3,<U+00B8><U+07F3><cc>42m<d2><d4><cf><c2>,NAA,Cropland,12,844.887765,NaN,0.340175887
1134,125.55,44.2,4,,NAA,Cropland,8,687.8706897,22.3999934,0.080806839
1135,120.3,45.1,4,656,1,Grassland,8,732.8547955,19.37999347,0.153901
1136,115.5,38.6,3,1200-2768 m,NAA,Cropland,8,499.8952112,25.64999332,0.039541703
1137,112.13,36.62,3,1500,2,Forest,9,794.1409816,11.9286603,0.092522762
1138,102.6,29.24,2,1145,2,Forest,3,513.3789591,5.479993774,0.070304283
1139,115.07,26.75,2,100,1,Forest,5,486.4516301,24.05999336,0.318205178
1140,121.5,31.5,3,,NAA,Forest,6,780.4185537,NaN,0.473452136
1141,127.3,45.23,4,300,1,Forest,8,637.4705965,20.77999343,0.13283984
1142,108.37,25.3,2,,NAA,Forest,12,530.6471897,8.059993716,0.072536484
1143,106.88,21.88,2,,NAA,Forest,11,531.9057259,17.65908441,NaN
1144,117.6,26.32,2,300,1,Forest,12,488.6416404,7.739993723,0.044576395
1145,111.5,33.45,3, 600m-1830,NAA,Forest,10,514.86462,13.3999936,0.07731661
1146,117.6,26.32,2,300,1,Forest,6,489.2925282,25.32999333,0.062838331
1147,118.16,26.67,2,200-500,NAA,Forest,12,518.8444473,12.96999361,0.072279043
1148,85.82,44.28,4,,NAA,Cropland,8,1154.333652,23.39999337,0.043974658
1149,119.21,30.1,3,,NAA,Forest,5,515.206483,19.04666014,0.136003723
1150,109.62,34.45,3,,NAA,Cropland,6,495.1468578,24.91999334,0.065599211
1151,109.36,36.69,3,1277,2,Cropland,10,496.0421673,9.465902776,0.063799279
1152,112.13,36.62,3,1500,2,Forest,6,985.625112,18.87181166,0.034493351
1153,116.47,44.17,4,1100,2,Grassland,5,614.952,13.60999359,0.095754999
1154,111.94,33.55,3,600-1830,NAA,Forest,10,559.4245744,11.96999363,0.042343595
1155,106.34,29.78,2,175-951.5,NAA,Forest,3,512.323374,14.62999357,0.068233069
1156,126.63,47.87,4,240,1,Grassland,6,497.7341215,20.31999344,0.122431254
1157,108.87,34.6,3,,NAA,Cropland,11,553.1565773,8.149993714,0.061716221
1158,115.41,38.81,3,,NAA,Cropland,6,665.8065874,24.17999336,0.070607461
1159,103.8,30.68,3,,NAA,Cropland,4,500.3532818,17.01999352,0.113617603
1160,116.72,40.11,4,9,1,Forest,6,501.2995324,23.65999337,0.028868709
1161,120.75,33.03,3,,NAA,Forest,4,743.578237,13.69999359,0.464046404
1162,117.73,26.51,2,100,1,Forest,12,2704.481154,10.23399367,0.096702043
1163,114.4,28.52,2,,NAA,Cropland,9,712.9606022,23.46862974,0.102807413
1164,114.33,29.83,2,,NAA,Cropland,5,752.349096,23.67999337,0.231062587
1165,106.34,29.78,2,175-951.5,NAA,Forest,2,531.8030804,10.02999367,0.056299636
1166,118.15,27.05,2,<U+00BA><U+00A3><U+00B0><ce>200<U+04BB>1000m,NAA,Forest,6,1064.448611,24.69999335,0.140671844
1167,103.8,30.68,3,,NAA,Cropland,11,506.6246455,13.49999359,0.141704512
1168,119.66,25.96,2,9,1,Forest,10,586.9237472,23.41999337,NaN
1169,119.97,30.08,3,536.9,1,Forest,3,507.0821721,10.65999366,0.080513177
1170,116.7,43.63,4,1100,2,Grassland,7,507.34854,20.04999345,0.149393984
1171,119.17,32.3,3,69,1,Forest,10,508.3878194,18.22999349,0.403466672
1172,103,30.07,3,1026,2,Forest,12,540.5276707,2.269993846,0.066118714
1173,107.85,35.65,3,1298,2,Cropland,5,679.7348011,17.43249351,0.059422419
1174,116,41.9,4,,NAA,Grassland,4,509.380825,6.169993759,0.082499109
1175,126.7,45.6,4,,NAA,Cropland,8,838.9245932,21.82999341,0.108630118
1176,117.47,26.18,2,330,1,Forest,1,510.8832,10.32681185,0.100395724
1177,118.3,37.25,3,876-1082,NAA,Forest,9,720.0539194,21.72999342,0.066911469
1178,114.03,31.49,3,,NAA,Forest,11,511.3940832,10.75999366,0.072151892
1179,120.19,30.31,3,1500-1600,NAA,Cropland,8,511.9268345,30.34999322,0.059713662
1180,119.42,25.58,2,10,1,Forest,10,1102.697447,23.75110448,NaN
1181,112.03,36.73,3,2337,3,Forest,9,591.2413431,11.05499365,0.095149208
1182,108.5,36,3,,NAA,Cropland,8,781.9236882,18.36044803,0.070481206
1183,108.9,18.8,1,,NAA,Forest,6,625.5738982,23.18999338,0.542655916
1184,109.25,36.73,3,1010-1431,NAA,Grassland,10,514.7053632,9.1890846,0.065470947
1185,108.06,34.26,3,521,1,Cropland,7,517.3369308,26.7699933,0.062645622
1186,110,19.73,1,20-30,NAA,Cropland,9,1342.663964,28.71999325,0.611655772
1187,110.1,21.3,2,,NAA,Forest,12,654.790798,19.39999346,0.174878702
1188,117.36,26.19,2,300,1,Forest,9,953.4039206,25.29999333,0.055207458
1189,107.66,35.23,3,1220,2,Cropland,9,1771.688311,17.38999351,0.094681725
1190,109.9,19.88,1,20-30,NAA,Cropland,12,727.3595491,19.25362983,0.554331951
1191,110.78,30.98,3,156~2030.6,NAA,Forest,12,521.4982176,6.739993746,0.051699519
1192,120,33.68,3,350,1,Forest,11,606.75264,10.65817548,0.128395987
1193,119.97,30.08,3,536.9,1,Forest,12,523.5513037,8.289993711,0.10471771
1194,115.07,26.75,2,100,1,Forest,10,523.6514957,22.78999339,0.113618769
1195,116.25,39.53,3,30,1,Forest,7,934.7701264,27.16332662,0.046980545
1196,109.9,19.88,1,20-30,NAA,Cropland,10,1389.615549,25.58590242,0.568728904
1197,116.12,40.56,4,,NAA,Cropland,8,805.9974462,22.5590843,0.073883195
1198,104.42,36.03,3,2400,3,Grassland,10,620.8385098,6.349993755,0.080199998
1199,118.2,26.83,2,180m,NAA,Forest,12,527.0535994,10.21772094,0.132908848
1200,119.21,30.1,3,,NAA,Forest,6,578.1609955,21.35666008,0.076534867
1201,119.7,30.23,3,,NAA,Forest,4,687.3858916,17.64481169,0.059801678
1202,109.88,27.05,2,,NAA,Forest,6,873.848684,21.50999342,0.203857098
1203,117.45,26.17,2,300,1,Forest,3,530.8965763,14.86999356,0.063976467
1204,108.76,18.38,1,700-1200,NAA,Forest,3,832.0499237,21.83166008,NaN
1205,128.47,42.4,4,740,1,Forest,10,635.1201082,4.649993793,0.072583808
1206,119.38,50.17,5,523,1,Grassland,7,528.4992096,20.17999345,0.319937468
1207,121.5,31.5,3,,NAA,Forest,4,718.8590204,NaN,0.188247988
1208,105.45,31.27,3,420,1,Cropland,2,528.7984232,9.279993689,0.064859174
1209,124.77,46.7,4,145-155,NAA,Cropland,9,961.4155372,15.13499356,0.21290195
1210,109.9,19.88,1,20-30,NAA,Cropland,9,1324.512,27.1990842,0.561228413
1211,115.41,38.81,3,,NAA,Cropland,10,688.2244227,13.3899936,0.062773995
1212,111.5,28.92,2,91.6,1,Cropland,10,530.6067383,18.09999349,0.179416135
1213,117.36,26.19,2,300,1,Forest,4,771.938208,20.54332677,0.06293035
1214,108.87,34.6,3,,NAA,Cropland,10,667.6385803,15.34999355,0.056619074
1215,103.5,29.67,2,977.62,1,Forest,4,564.2269748,19.41999346,0.079153164
1216,100.2,25.7,2,1980,2,Cropland,8,534.274225,16.45999353,NaN
1217,110,19.73,1,20-30,NAA,Cropland,12,741.7729728,20.71999343,0.600000024
1218,118.3,37.25,3,876-1082,NAA,Forest,6,614.6170877,25.03999334,0.075557374
1219,105.47,31.27,3,,NAA,Grassland,6,1988.286506,23.32999338,0.195787519
1220,115.83,28.76,2,,NAA,Cropland,6,556.0607897,26.96999329,0.635607421
1221,116.25,39.53,3,30,1,Forest,5,659.4930766,22.14332674,0.036271271
1222,110,19.73,1,20-30,NAA,Cropland,10,1418.92629,25.33999333,0.692467868
1223,113.03,28.1,2,46-114,NAA,Forest,1,536.42736,2.09999385,0.082729405
1224,106.4,29.8,2,266.3,1,Cropland,3,536.687532,15.72999354,0.057651605
1225,120.5,50.83,5,,NAA,Forest,7,537.0709214,18.1190844,0.360410434
1226,105.3,27.5,2,260<U+00A1><U+00AB>1008,NAA,Forest,1,598.6169827,3.619993816,0.063066214
1227,119.66,30.46,3,380,1,Forest,3,752.4231005,6.779993745,0.06492764
1228,119.5,30.2,3,150,1,Forest,8,651.0989455,25.81499332,0.047321705
1229,108.06,34.26,3,521,1,Cropland,8,538.8921055,24.60999335,0.078698128
1230,119.7,30.23,3,150-200,NAA,Forest,9,1368.846253,23.90836999,0.095244168
1231,118.72,32.21,3,,NAA,Cropland,4,629.8800354,16.4466602,0.051704976
1232,110.3,31.47,3,2571,3,Forest,6,888.2432914,10.82999365,0.039690282
1233,106.52,22.03,2,300,1,Forest,1,540.9515146,NaN,NaN
1234,110.33,38.8,3,1081.0-1273.9,NAA,Grassland,10,541.8183341,10.66999366,0.06585791
1235,105.3,27.5,2,260<U+00A1><U+00AB>1010,NAA,Forest,3,598.1420506,6.199993758,0.066021122
