,Lon,Lat,Alt,Eco,FROM,Region,flux,MAT
87,112.32,37.72,NA,Shrubland,N-SRDB,China,1030.33333333333,7.19666040233333
88,112.6,37.8,NA,Cropland,N-SRDB,China,1476,11.23999365
89,114.67,37.83,NA,Cropland,N-SRDB,China,462.333333333333,13.74999359
90,100.58,38.48,NA,Grassland,N-SRDB,China,397.666666666667,4.939993786
91,110.37,38.77,NA,Cropland,N-SRDB,China,396.625,9.159993692
92,110.37,38.77,NA,Grassland,N-SRDB,China,485.75,9.159993692
93,128.1,42.4,738,Forest,N-SRDB,China,838.586,3.255630188
94,125,42.5,NA,Forest,N-SRDB,China,520.402,6.029993762
95,117.35,42.5,1400,Forest,N-SRDB,China,537.063333333333,0.755827212666667
96,117.35,42.5,NA,Shrubland,N-SRDB,China,584.5,0.713327213666667
97,117.35,42.5,NA,Grassland,N-SRDB,China,521.08,0.665812063
98,120.72,42.93,NA,Grassland,N-SRDB,China,279.4,7.029993739
99,116.37,43.43,NA,Grassland,N-SRDB,China,262.888888888889,1.57777163888889
100,116.08,43.52,NA,Grassland,N-SRDB,China,254.333333333333,1.849993855
101,116.55,43.53,NA,Grassland,N-SRDB,China,185,2.64332717066667
102,116.67,43.55,NA,Grassland,N-SRDB,China,227.333333333333,2.69529686683333
103,116.67,43.55,NA,Forest,N-SRDB,China,1274,1.329993867
104,116.53,43.6,NA,Grassland,N-SRDB,China,160,2.97999383
105,115.9,44.08,NA,Grassland,N-SRDB,China,123,3.42666048666667
106,125.55,44.2,NA,Cropland,N-SRDB,China,565.376666666667,6.18332709133333
107,116.5,44.53,NA,Grassland,N-SRDB,China,285,3.629993815
108,127.67,45.4,300,Forest,N-SRDB,China,583.724666666667,1.34366053313333
109,126.13,47.1,NA,Cropland,N-SRDB,China,517.166666666667,4.18332713633333
110,108.84,18.63,850,Forest,N-SRDB,China,684.633333333333,22.3099934
111,108.88,18.61,870,Forest,N-SRDB,China,1673,22.1499934
112,108.84,18.61,1000,Forest,N-SRDB,China,1239,22.2699934
113,109.91,19.71,33,Forest,N-SRDB,China,972.18,25.36999333
114,110.08,21.27,99,Forest,N-SRDB,China,1022.5,23.86999336
115,112.83,22.62,61,Forest,N-SRDB,China,639.87,21.94999341
116,114.18,22.58,180,Forest,N-SRDB,China,1887,23.03999338
117,112.54,23.17,275,Forest,N-SRDB,China,961.575833333333,22.7783267205556
118,112.54,23.18,125,Forest,N-SRDB,China,992.114285714286,22.9342790985714
119,112.55,23.17,NA,Forest,N-SRDB,China,777.740666666667,22.98799338
120,112.39,23.17,NA,Forest,N-SRDB,China,1027.44333333333,22.4549934
121,112.57,23.17,300,Forest,N-SRDB,China,1021.57,22.81599339
122,113.37,23.32,535,Forest,N-SRDB,China,703.88,22.44999339
123,113.79,23.33,106,Forest,N-SRDB,China,772.91,21.09999342
124,113.78,23.33,209,Forest,N-SRDB,China,838.64,21.09999342
125,113.44,25.23,465,Forest,N-SRDB,China,1083,15.59999355
126,113.46,25.22,466,Forest,N-SRDB,China,1572,15.59999355
127,100.83,21.82,1610,Forest,N-SRDB,China,1460.23,21.28999342
128,101.27,21.93,750,Forest,SRDB,China,1010.91916666667,22.5124933941667
129,100.63,22.18,700,Forest,N-SRDB,China,1450,20.55999344
130,109.33,21.74,45,Forest,N-SRDB,China,1030.04,22.91999338
131,106.83,22.17,550,Forest,N-SRDB,China,829.616363636364,21.7068115918182
132,106.94,22.46,198,Forest,N-SRDB,China,1489.36,21.67999341
133,108.14,22.62,80,Forest,N-SRDB,China,858.73,21.32999342
134,107.48,23.6,390,Forest,N-SRDB,China,1104.554,20.49999344
135,110.13,24.94,150,Forest,N-SRDB,China,842.91,18.60999348
136,110.27,25.59,240,Forest,N-SRDB,China,791.418,19.35999346
137,116.41,25.68,400,Forest,N-SRDB,China,1342.75,19.05999347
138,117.4,23.63,21,Forest,N-SRDB,China,1234,23.07999338
139,119.67,25.97,9,Forest,N-SRDB,China,1041.34444444444,20.55999344
140,117.47,26.15,305,Forest,N-SRDB,China,1127.775,19.84999345
141,117.47,26.18,305,Forest,N-SRDB,China,1212.11818181818,20.2150347636364
142,117.6,26.32,330,Forest,N-SRDB,China,971.217222222222,18.3111045977778
143,119.08,26.21,370,Forest,N-SRDB,China,806.06,20.99999343
144,117.47,26.16,300,Forest,N-SRDB,China,1262.95,20.4428505814286
145,117.95,26.47,200,Forest,N-SRDB,China,926.980833333333,20.06999345
146,118.17,26.67,350,Forest,N-SRDB,China,890.429333333333,19.27799347
147,117.98,26.8,230,Forest,N-SRDB,China,878.59,18.98999347
148,118.19,26.94,200,Forest,N-SRDB,China,1391,19.60999346
149,118.38,27.07,410,Forest,N-SRDB,China,1063.31,19.9472661772727
150,107.98,25.25,735,Forest,N-SRDB,China,973.5,15.87999354
151,106.77,26.53,1200,Forest,N-SRDB,China,1174.975,14.77499357
152,115.05,26.73,107,Forest,N-SRDB,China,743.466666666667,19.2966601333333
153,115.06,26.74,102,Forest,N-SRDB,China,696.26652173913,19.2086891204348
154,115.07,26.73,88,Forest,N-SRDB,China,477.975,19.49999346
155,115.06,26.75,88,Forest,N-SRDB,China,584,19.34499347
156,114.63,27.67,280,Forest,N-SRDB,China,865.437272727273,17.8331753195455
157,115.71,29.29,60,Forest,N-SRDB,China,624.41,19.89999345
158,109.78,26.91,350,Forest,N-SRDB,China,570,17.5499935
159,109.6,26.83,650,Forest,N-SRDB,China,508.04,15.62999355
160,109.43,26.67,450,Forest,N-SRDB,China,507.248461538462,15.5853781638462
161,110.13,27.15,350,Forest,N-SRDB,China,585,16.46999353
162,113.03,28.11,75,Forest,N-SRDB,China,754.7875,18.4283268170833
163,113.04,28.11,80,Forest,N-SRDB,China,902.711818181818,18.58726621
164,113.31,28.41,241,Forest,N-SRDB,China,364.39,17.41999351
165,118.11,29.21,375,Forest,N-SRDB,China,593.333333333333,13.2399936
166,118.24,29.34,479,Forest,N-SRDB,China,295.67,15.19999356
167,118.24,29.35,473,Forest,N-SRDB,China,274.81,15.19999356
168,118.23,29.35,449,Forest,N-SRDB,China,441.265,15.19999356
169,118.14,29.34,368,Forest,N-SRDB,China,457.26,15.24999356
170,118.14,29.33,392,Forest,N-SRDB,China,437.37,15.24999356
171,118.21,29.3,656,Forest,N-SRDB,China,382.31,13.2399936
172,118.19,29.28,743,Forest,N-SRDB,China,448.35,13.03999361
173,121.79,29.8,154,Forest,N-SRDB,China,1283,15.96999354
174,121.8,29.81,214,Forest,N-SRDB,China,1077,17.10999351
175,119.65,30.23,NA,Forest,N-SRDB,China,454.88375,17.7599935
176,119.7,30.23,150,Forest,N-SRDB,China,1067.47125,17.4321526
177,119.84,30.25,150,Forest,N-SRDB,China,598.38,17.37999351
178,119.84,30.26,150,Forest,N-SRDB,China,596.18,17.5199935
179,119.78,30.22,150,Forest,N-SRDB,China,1100.955,17.45999351
180,119.43,30.33,330,Forest,N-SRDB,China,1296.572,13.78599359
181,102.35,29.23,1145,Forest,N-SRDB,China,974.2,14.91999356
182,103,29.57,3050,Forest,N-SRDB,China,590.753,8.477993707
183,103.45,30.73,826,Forest,N-SRDB,China,1083.47,14.90999356
184,103.03,30.93,3091,Forest,N-SRDB,China,794.32,3.099993827
185,103.62,30.98,911,Forest,N-SRDB,China,750.3425,16.15999354
186,105.47,31.27,500,Forest,N-SRDB,China,562.683333333333,17.7877712755556
187,102.93,31.3,3035,Forest,N-SRDB,China,1067.634,-6.694005954
188,94.39,29.71,3980,Forest,N-SRDB,China,976,-0.1400061
189,106.34,29.78,770,Forest,N-SRDB,China,845.053636363636,18.9027207490909
190,110.66,30.91,950,Forest,N-SRDB,China,714.606666666667,14.42999357
191,110.49,31.33,1321,Forest,N-SRDB,China,466.81,7.559993728
192,110.49,31.32,1325,Forest,N-SRDB,China,627.03,7.559993728
193,111.22,32.75,355,Forest,N-SRDB,China,1107.56,14.6766602333333
194,118.15,33.7,15,Forest,N-SRDB,China,974,15.42999355
195,106.83,34.33,1652,Forest,N-SRDB,China,815.453333333333,11.01999365
196,107.67,35.22,1095,Forest,N-SRDB,China,750.888888888889,11.3122158666667
197,109.53,36.42,1353,Forest,N-SRDB,China,990.502727272727,8.48635734327273
198,109.42,36.42,1353,Forest,N-SRDB,China,1021.61142857143,9.29713654614286
199,109.32,36.85,1198,Forest,N-SRDB,China,524.73,8.999993695
200,111.92,33.47,1344,Forest,N-SRDB,China,730.185454545455,11.33544819
201,105.85,34.26,1650,Forest,N-SRDB,China,556.79,6.939993741
202,100.28,38.4,2750,Forest,N-SRDB,China,557.193333333333,-4.965460538
203,100.12,39.35,1386,Forest,N-SRDB,China,850,9.859993676
204,112.1,36.07,1653,Forest,N-SRDB,China,556.508333333333,9.099993693
205,112.39,37.74,1390,Forest,N-SRDB,China,892.75,7.109993738
206,112.37,37.73,1443,Forest,N-SRDB,China,1212.3,7.15768604430769
207,116.25,39.53,30,Forest,N-SRDB,China,640.48,13.7566602566667
208,115.43,39.95,1350,Forest,N-SRDB,China,441.5,6.719993747
209,115.43,39.96,1050,Forest,N-SRDB,China,414,6.829993744
210,115.42,39.96,1150,Forest,N-SRDB,China,422.5,6.274993757
211,116.1,40.07,145,Forest,N-SRDB,China,643.5,8.259993712
212,116.08,40.05,145,Forest,N-SRDB,China,506.5,7.929993719
213,116.47,39.9,140,Forest,N-SRDB,China,357.142857142857,13.3314221714286
214,114.26,37.88,644,Forest,N-SRDB,China,602.296,12.88999361
215,124.92,41.85,680,Forest,N-SRDB,China,498.456666666667,4.049993806
216,124.9,41.85,680,Forest,N-SRDB,China,535.16,3.999993807
217,123.6,41.91,122,Forest,N-SRDB,China,551.105,8.899993698
218,128.47,42.4,738,Forest,N-SRDB,China,716.89,3.119993827
219,128.08,42.4,740,Forest,N-SRDB,China,562.876,3.175993826
220,127.53,45.38,490,Forest,N-SRDB,China,603.990833333333,2.53749384
221,127.57,45.27,300,Forest,N-SRDB,China,794.808333333333,2.564993839
222,127.57,45.33,340,Forest,N-SRDB,China,634.915,2.97427954414286
223,127.58,45.35,340,Forest,N-SRDB,China,525.312,2.823993833
224,128.87,47.19,400,Forest,N-SRDB,China,956.57,1.379993866
225,128.87,47.18,310,Forest,N-SRDB,China,680,1.924993854
226,128.89,47.19,392,Forest,N-SRDB,China,670.43,2.269993846
227,128.9,47.15,365,Forest,N-SRDB,China,706.87,2.269993846
228,125.48,51.37,463,Forest,N-SRDB,China,882.055,-0.900006083
229,121.5,50.93,810,Forest,N-SRDB,China,609.34,-5.442505982
230,121.51,50.83,826,Forest,N-SRDB,China,940.48,-5.550005979
231,117.54,25.94,717,Forest,N-SRDB,China,1351.36,16.56999353
232,114.25,29.68,168,Forest,N-SRDB,China,924.55,15.26999356
233,113.88,29.69,161,Forest,N-SRDB,China,897,16.98999352
234,113.88,29.71,160,Forest,N-SRDB,China,889.09,17.30999351
235,104.58,28.42,889,Forest,N-SRDB,China,1260.6,19.71999346
