NO,Scale,Lon,Lat,Eco,flux,Observed temperature,T,LAI,SWC,SOC,MAT,TT
56,Yearly,118.8,32,Cropland,885.2183333,16.83196322,5,0.606322885,0.150656535,0.8,16.58157247,5Y
57,Yearly,118.85,32.07,Forest,916,15.94999354,5,0.609565217,0.115527069,0.98,16.38683564,5Y
58,Yearly,118.87,32.07,Forest,957,15.94999354,5,0.609565217,0.104098659,0.98,16.38683564,5Y
59,Yearly,118.88,32.07,Grassland,1563,15.94999354,5,0.609565217,0.104098659,0.98,16.38683564,5Y
60,Yearly,118.7,32.18,Forest,899.64,16.03299354,5,0.837009662,0.155052552,0.98,16.39104616,5Y
61,Yearly,119.67,32.33,Forest,550,16.65999352,5,1.079347826,0.164247291,1.12,16.47683563,5Y
62,Yearly,106.92,32.67,Forest,646,7.159993736,3,3.55,0.069837639,0.4,7.318414786,3Y
63,Yearly,108.5,33.38,Forest,525.0083333,7.624993726,3,3.532131643,0.069546161,0.4,8.040520033,3Y
64,Yearly,111.93,33.47,Forest,951.4510526,11.86999363,4,3.069313501,0.072161665,0.7,11.33946733,4Y
65,Yearly,108.62,34.22,Forest,201,14.93999356,5,0.483695652,0.071403545,1.12,14.55315147,5Y
66,Yearly,113.65,34.8,Cropland,929.5,16.12999354,5,0.682826087,0.090407923,0.6,15.86262512,5Y
67,Yearly,112.47,35.02,Forest,788.1321739,14.80347183,5,1.125113422,0.095019369,0.36,14.7078883,5Y
68,Yearly,116.37,35.07,Cropland,286.1428571,14.50999357,5,0.76,0.099076869,0.6,14.39104621,5Y
69,Yearly,107.67,35.2,Cropland,679.602,9.577327016,3,0.714928502,0.063117814,0.65,10.42894103,3Y
70,Yearly,118.07,35.25,Forest,895.5,13.94499359,5,0.582362319,0.095890133,0.83,14.5042041,5Y
71,Yearly,106.32,35.47,Forest,441.6666667,6.729993746,3,0.961956522,0.069346922,1.64,6.774204271,3Y
72,Yearly,106.32,35.47,Cropland,191,6.729993746,3,0.961956522,0.069346922,1.64,6.774204271,3Y
73,Yearly,106.32,35.47,Grassland,508,6.729993746,3,0.961956522,0.069346922,1.64,6.774204271,3Y
74,Yearly,109.53,36.43,Forest,1218.5,9.099993693,3,0.658043478,0.056002107,0.65,8.696309492,3Y
75,Yearly,114.2,36.5,Cropland,190.75,14.17999358,5,0.327391304,0.076269316,0.36,14.16578305,5Y
76,Yearly,115.03,36.68,Cropland,698.1111111,13.99999358,5,0.976086957,0.072365939,0.97,14.31841463,5Y
77,Yearly,115.02,36.87,Cropland,561,14.00999358,5,0.795652174,0.074520118,0.6,14.3442041,5Y
78,Yearly,116.6,36.95,Cropland,758.3333333,13.75999359,5,0.640217391,0.091025135,0.6,14.34683568,5Y
79,Yearly,118.12,36.95,Cropland,662,14.45999357,5,0.552391304,0.132807243,0.63,14.55051989,5Y
80,Yearly,101.25,37.53,Grassland,486.5,0.499993885,2,0.834583333,0.092566464,3.02,0.352099152,2Y
81,Yearly,105.03,37.53,Desert,164.879,9.134993693,3,0.040826087,0.090037635,0.43,10.47315156,3Y
82,Yearly,101.32,37.62,Grassland,592.6,-1.058642443,1,0.79253758,0.076010315,1.13,-1.138427131,1Y
83,Yearly,101.32,37.62,Cropland,389,-1.680006066,1,0.72,0.075142638,1.13,-1.138427131,1Y
84,Yearly,112.32,37.72,Forest,962.6666667,7.246660401,3,0.423333333,0.092394181,0.51,6.993677951,3Y
85,Yearly,112.32,37.72,Grassland,1027.666667,7.246660401,3,0.423333333,0.092394181,0.51,6.993677951,3Y
86,Yearly,112.32,37.72,Shrubland,1030.333333,7.196660402,3,0.467028986,0.090336011,0.51,6.993677951,3Y
87,Yearly,112.6,37.8,Cropland,1476,11.23999365,4,0.145434783,0.051489808,0.36,11.3384147,4Y
88,Yearly,114.67,37.83,Cropland,462.3333333,13.74999359,5,0.145434783,0.048385629,0.63,14.43051989,5Y
89,Yearly,100.58,38.48,Grassland,397.6666667,4.939993786,2,0.303478261,0.050238541,0.41,3.242625403,2Y
90,Yearly,110.37,38.77,Cropland,396.625,9.159993692,3,0.162173913,0.065835479,0.36,9.07788843,3Y
91,Yearly,110.37,38.77,Grassland,485.75,9.159993692,3,0.162173913,0.065835479,0.36,9.07788843,3Y
92,Yearly,128.1,42.4,Forest,838.586,3.255630188,2,1.717518032,0.076960396,1.65,3.103151722,2Y
93,Yearly,125,42.5,Forest,520.402,6.029993762,3,2.162084058,0.101736556,0.83,5.905783238,3Y
94,Yearly,117.35,42.5,Forest,537.0633333,0.755827213,2,0.930742754,0.094311951,1.6,0.085783368,2Y
95,Yearly,117.35,42.5,Shrubland,584.5,0.713327214,2,0.937826087,0.095296354,1.6,0.085783368,2Y
96,Yearly,117.35,42.5,Grassland,521.08,0.665812063,2,0.939986855,0.096714326,1.6,0.085783368,2Y
97,Yearly,120.72,42.93,Grassland,279.4,7.029993739,3,0.201956522,0.070614655,0.43,7.680520041,3Y
98,Yearly,116.37,43.43,Grassland,262.8888889,1.577771639,2,0.29738124,0.121181919,1.65,1.186835975,2Y
99,Yearly,116.08,43.52,Grassland,254.3333333,1.849993855,2,0.200217391,0.086008233,0.5,1.891046486,2Y
100,Yearly,116.55,43.53,Grassland,185,2.643327171,2,0.206449275,0.091272443,0.4,2.633151732,2Y
101,Yearly,116.67,43.55,Grassland,227.3333333,2.695296867,2,0.264948882,0.109503222,0.4,1.928941222,2Y
102,Yearly,116.67,43.55,Forest,1274,1.329993867,2,0.292173913,0.094375893,0.4,1.928941222,2Y
103,Yearly,116.53,43.6,Grassland,160,2.97999383,2,0.177826087,0.104348569,1.65,2.633151732,2Y
104,Yearly,115.9,44.08,Grassland,123,3.426660487,2,0.118695652,0.0905153,1.2,3.366835926,2Y
105,Yearly,125.55,44.2,Cropland,565.3766667,6.183327091,3,0.93,0.086150541,1.95,6.371572701,3Y
106,Yearly,116.5,44.53,Grassland,285,3.629993815,2,0.12625,0.092934,1.37,3.536309607,2Y
